content,rating,at,bank,sentiment,sentiment_score
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11 06:22:01,BOA,Negative,-0.8392
BoA Greqt Ethiopian bank.,5,2025-03-11 05:31:05,BOA,Neutral,0.0
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10 17:11:15,BOA,Positive,0.3612
Almost better compared to cbe where it is not qualified for,4,2025-03-09 08:50:02,BOA,Positive,0.3832
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09 08:34:30,BOA,Positive,0.7334
Wonderfull app,5,2025-03-08 07:23:26,BOA,Neutral,0.0
i can't use this app why?,5,2025-03-07 11:28:00,BOA,Neutral,0.0
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06 19:44:28,BOA,Negative,-0.702
Wow,4,2025-03-05 18:58:05,BOA,Positive,0.5859
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05 12:03:56,BOA,Negative,-0.8205
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04 17:03:40,BOA,Negative,-0.1531
Good app,5,2025-03-03 13:47:22,BOA,Positive,0.4404
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03 06:24:29,BOA,Neutral,0.0
It has good features but sometimes it doesn't work...0,1,2025-03-02 14:02:17,BOA,Positive,0.2382
Very poor proformance,1,2025-03-01 20:02:44,BOA,Negative,-0.5256
It's not opening. Really frustrating,1,2025-03-01 14:18:34,BOA,Positive,0.3865
Verry Amazing App from all IB,5,2025-03-01 08:35:08,BOA,Positive,0.5859
Not working on this days,1,2025-02-26 10:29:28,BOA,Neutral,0.0
Thank you BoA,5,2025-02-23 08:06:47,BOA,Positive,0.3612
best banking app in the wworld,5,2025-02-22 16:58:17,BOA,Positive,0.6369
Nice app and it's easy to use,5,2025-02-21 09:41:42,BOA,Positive,0.6908
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15 15:15:50,BOA,Positive,0.4242
This is help full i like ittttt,5,2025-02-14 18:09:06,BOA,Positive,0.6369
The is not functional at all?,2,2025-02-12 08:31:48,BOA,Neutral,0.0
Best bank,5,2025-02-08 08:08:52,BOA,Positive,0.6369
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07 06:28:37,BOA,Positive,0.765
good,5,2025-02-05 04:32:27,BOA,Positive,0.4404
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04 05:48:51,BOA,Neutral,0.0
I have been using this app for two years.It is amazing.,5,2025-01-31 21:18:26,BOA,Positive,0.5859
Good 👍,5,2025-01-31 14:46:28,BOA,Positive,0.4404
Sad experience,1,2025-01-30 17:27:28,BOA,Negative,-0.4767
Always do update and that is annoying,3,2025-01-27 06:11:12,BOA,Negative,-0.4019
"Best app, somehow waiting a few minutes",5,2025-01-23 13:02:28,BOA,Positive,0.6369
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22 03:05:22,BOA,Neutral,0.0
Whenever I try to sign in app close please fixed it out,2,2025-01-21 16:34:22,BOA,Positive,0.3182
Beter,5,2025-01-21 09:47:47,BOA,Neutral,0.0
Boa,4,2025-01-18 13:17:34,BOA,Neutral,0.0
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18 10:33:28,BOA,Neutral,0.0
Aadan Axmed Barkhadle,5,2025-01-17 16:23:05,BOA,Neutral,0.0
😡😡😡🤬🤬🤬,1,2025-01-16 09:46:26,BOA,Neutral,0.0
Horrible customer service and app crashes Horrible!!,1,2025-01-15 10:24:17,BOA,Negative,-0.8217
I love it,5,2025-01-14 08:17:47,BOA,Positive,0.6369
Best,5,2025-01-14 08:14:00,BOA,Positive,0.6369
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13 12:45:23,BOA,Neutral,0.0
Good🙏,5,2025-01-11 23:27:14,BOA,Neutral,0.0
Like to much,5,2025-01-11 07:43:49,BOA,Positive,0.3612
Thank you,5,2025-01-10 16:24:54,BOA,Positive,0.3612
Perfect,5,2025-01-09 16:02:07,BOA,Positive,0.5719
The best of best,5,2025-01-09 12:57:55,BOA,Positive,0.8555
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,2025-01-07 09:26:17,BOA,Positive,0.5423
Boa,5,2025-01-06 05:43:09,BOA,Neutral,0.0
Great 👍,5,2025-01-04 13:59:09,BOA,Positive,0.6249
Fast and suitable for the customers.,5,2025-01-04 05:16:44,BOA,Neutral,0.0
Good 👍,5,2025-01-03 17:59:49,BOA,Positive,0.4404
Good app and helpful,5,2025-01-03 12:51:42,BOA,Positive,0.6908
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03 04:56:58,BOA,Negative,-0.8587
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02 12:31:28,BOA,Negative,-0.296
It doesn't work at all.,2,2025-01-02 10:24:09,BOA,Neutral,0.0
this app is not available,1,2025-01-02 05:46:51,BOA,Neutral,0.0
Best,5,2025-01-01 16:59:05,BOA,Positive,0.6369
Wow what amazing,5,2024-12-30 18:45:24,BOA,Positive,0.8225
love it,5,2024-12-30 16:30:43,BOA,Positive,0.6369
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30 13:08:06,BOA,Neutral,0.0
Lemn embi yilal??,5,2024-12-30 13:01:11,BOA,Neutral,0.0
Good,5,2024-12-30 10:20:13,BOA,Positive,0.4404
It's useless app downgraded.,1,2024-12-29 10:19:05,BOA,Negative,-0.4215
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27 10:28:26,BOA,Neutral,0.0
Nice,5,2024-12-26 16:09:33,BOA,Positive,0.4215
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24 03:27:54,BOA,Negative,-0.6249
አይሰራም ሼም ነው፤,1,2024-12-23 14:03:45,BOA,Neutral,0.0
Not that much bad,3,2024-12-22 08:12:44,BOA,Positive,0.431
Fine,5,2024-12-20 23:16:46,BOA,Positive,0.2023
The dirtiest application ever seen...,1,2024-12-20 16:09:23,BOA,Negative,-0.5267
Nic ap,5,2024-12-19 17:08:34,BOA,Neutral,0.0
The forest app ever,1,2024-12-19 08:07:06,BOA,Neutral,0.0
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19 03:02:34,BOA,Positive,0.9475
Bank of abissena,1,2024-12-17 18:21:09,BOA,Neutral,0.0
Good,3,2024-12-16 16:29:33,BOA,Positive,0.4404
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16 10:02:26,BOA,Positive,0.7003
GOOD,5,2024-12-14 22:02:24,BOA,Positive,0.4404
The worst banking app ever. Never works!,1,2024-12-14 05:45:35,BOA,Negative,-0.6588
Poorly functioning app,3,2024-12-13 09:55:02,BOA,Neutral,0.0
Very nice,5,2024-12-13 07:57:24,BOA,Positive,0.4754
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11 03:08:14,BOA,Negative,-0.6249
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10 06:43:57,BOA,Negative,-0.6369
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08 20:16:05,BOA,Positive,0.9253
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07 19:40:19,BOA,Negative,-0.2135
Nice,5,2024-12-07 15:00:27,BOA,Positive,0.4215
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06 14:19:23,BOA,Negative,-0.6245
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02 18:19:07,BOA,Neutral,0.0
It's better to say I don't use boa rather than pulling your phone out and opening this app,1,2024-12-01 11:52:25,BOA,Positive,0.4404
My attention is very important because it will be the most difficult time for me,5,2024-11-30 17:23:48,BOA,Negative,-0.1779
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-29 03:40:35,BOA,Negative,-0.7976
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28 08:44:51,BOA,Positive,0.7684
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28 07:17:48,BOA,Negative,-0.8464
exellent digital transaction of money,5,2024-11-26 21:10:14,BOA,Neutral,0.0
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26 12:05:22,BOA,Negative,-0.2263
Best,5,2024-11-25 16:10:50,BOA,Positive,0.6369
Great,5,2024-11-25 14:26:59,BOA,Positive,0.6249
👏👏👏,5,2024-11-24 18:31:39,BOA,Neutral,0.0
Money,5,2024-11-24 07:31:41,BOA,Neutral,0.0
It needs more improvment,2,2024-11-24 06:17:29,BOA,Neutral,0.0
Hey Google,5,2024-11-21 19:51:14,BOA,Neutral,0.0
Good app,5,2024-11-21 14:40:34,BOA,Positive,0.4404
ab,3,2024-11-20 19:26:08,BOA,Neutral,0.0
Ademtahir,5,2024-11-20 10:41:49,BOA,Neutral,0.0
✌️✌️,5,2024-11-20 09:25:55,BOA,Neutral,0.0
Please this app on my android phone,3,2024-11-20 06:25:05,BOA,Positive,0.3182
GOAT 🐐 🐐,5,2024-11-19 13:48:41,BOA,Neutral,0.0
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19 11:12:49,BOA,Positive,0.2732
Fast and reliable,5,2024-11-18 15:58:47,BOA,Neutral,0.0
